"","block_number","street1","street2"
"166","1800","FRANKLIN ST",NA
"167","2000","DURANT AVE",NA
"168","2600","MCGEE AVE",NA
"169","2900","COLLEGE AVE",NA
"170",NA,"BERRYMAN STREET","BONITA AVE"
"171","600","WOODMONT AVE",NA
"172","1900","THOUSAND OAKS BLVD",NA
"173","2104","ROOSEVELT AVE",NA
"174","2700","GRANT ST",NA
"175","1200","CEDAR ST",NA
"176","1444","SHATTUCK",NA
"177","2600","REGENT ST",NA
"178",NA,"TELEGRAPH AVENUE","DURANT AVE"
"179","1000","HEINZ AVE",NA
"180","1600","RUSSELL ST",NA
"181","1300","BURNETT ST",NA
"182","3000","SACRAMENTO ST",NA
"183","1400","HAWTHORNE TER",NA
"184","2000","KITTREDGE ST",NA
"185","2500","DURANT AVE",NA
"186","2600","TELEGRAPH AVE",NA
"187",NA,"SACRAMENTO STREET","ASHBY AVE"
"188","2600","DURANT AVE",NA
"189","3000","SAN PABLO AVE",NA
"190","3000","TELEGRAPH AVE",NA
"191","1500","TYLER ST",NA
"192","100","UNIVERSITY AVE",NA
"193","2400","PARKER ST",NA
"194","600","ADDISON ST",NA
"195","2500","SAN PABLO AVE",NA
"196","2000","UNIVERSITY AVE",NA
"197","2000","SAN PABLO AVE",NA
"198","900","UNIVERSITY AVE",NA
"199","1500","SCENIC AVE",NA
"200","1800","ALCATRAZ AVE",NA
"201","2300","BANCROFT WAY",NA
"202","3000","BATEMAN ST",NA
"203","2600","HASTE ST",NA
"204","1600","CAPISTRANO AVE",NA
"205","1900","ADDISON ST",NA
"206",NA,"CHANNING WAY","BONAR ST"
"207","2400","DURANT AVE",NA
"208","2100","HASTE ST",NA
"209",NA,"ELLSWORTH STREET","BLAKE ST"
"210",NA,"TACOMA AVENUE","ENSENADA AVE"
"211",NA,"FOURTH STREET","ADDISON ST"
"212",NA,"HEARST AVENUE","GRANT ST"
"213","2300","TELEGRAPH AVE",NA
"214","2100","SHATTUCK AVE",NA
"215","1600","NINTH ST",NA
"216","2000","BERKELEY WAY",NA
"217","1200","HEARST AVE",NA
"218","2000","CENTER ST",NA
"219","2300","SHATTUCK AVE",NA
"220","2600","PARKER ST",NA
"221","2400","TELEGRAPH AVE",NA
"222","2600","SACRAMENTO ST",NA
"223","1800","BERKELEY WAY",NA
"224",NA,"ADELINE STREET","ASHBY AVE"
"225","2500","REGENT ST",NA
"226",NA,"UNIVERSITY AVENUE","SHATTUCK AVE"
"227",NA,"SAN PABLO AVENUE","ASHBY AVE"
"228","3000","ADELINE ST",NA
"229","1800","UNIVERSITY AVE",NA
"230",NA,"HEARST AVENUE","LA LOMA AVE"
"231","900","HEINZ AVE",NA
"232",NA,"DURANT AVENUE","BOWDITCH ST"
"233","1500","MILVIA ST",NA
"234","1900","ALLSTON WAY",NA
"235","1900","OXFORD ST",NA
"236","1300","SAN PABLO AVE",NA
