"","date","day","time","type","block_number","street1","street2","lat","long","wday","severity","area"
"702",2015-12-29,"Tuesday",20,"THEFT FROM AUTO","2000","KITTREDGE ST",NA,37.868204,-122.270054,"weekday","4","S"
"703",2015-12-08,"Tuesday",18.5,"ASSAULT/BATTERY MISD.","2100","SHATTUCK AVE",NA,37.871167,-122.268285,"weekday","4","E"
"704",2016-02-29,"Monday",19.5,"ROBBERY","1800","EUCLID AVE",NA,37.876045,-122.260336,"weekday","4","E"
"705",2016-01-23,"Saturday",22,"VEHICLE STOLEN",NA,"EIGHTH STREET","HEARST AVE",37.869746,-122.295968,"weekend","4","W"
"706",2015-12-15,"Tuesday",13.9333333333333,"THEFT FELONY (OVER $950)","2600","ASHBY AVE",NA,37.856755,-122.255248,"weekday","5","E"
"707",2016-04-26,"Tuesday",2.88333333333333,"NARCOTICS","37.8604074730001000,","-122.2991894540000000",NA,37.8604074730001,-122.299189454,"weekday","2","W"
"708",2016-04-29,"Friday",23.1666666666667,"2ND RESPONSE","2800","HILGARD AVE",NA,37.879273,-122.255986,"weekday","1","E"
"709",2016-05-12,"Thursday",15.5,"BURGLARY COMMERCIAL",NA,"FIFTH STREET","UNIVERSITY AVE",37.867639,-122.298782,"weekday","2","W"
"710",2016-02-08,"Monday",19.75,"ASSAULT/BATTERY MISD.","2000","ALLSTON WAY",NA,37.869096,-122.270137,"weekday","4","E"
"711",2016-01-07,"Thursday",1.33333333333333,"BURGLARY RESIDENTIAL","1700","WALNUT ST",NA,37.876596,-122.267789,"weekday","4","N"
"712",2016-02-07,"Sunday",15.1666666666667,"IDENTITY THEFT","2000","CHANNING WAY",NA,37.865501,-122.269774,"weekend","1","S"
"713",2016-04-03,"Sunday",20,"VANDALISM","2500","BANCROFT WAY",NA,37.868722,-122.259123,"weekend","3","E"
"714",2016-01-13,"Wednesday",13,"SEXUAL ASSAULT FEL.","200","UNIVERSITY AVE",NA,37.865491,-122.310065,"weekday","5","W"
"715",2016-03-30,"Wednesday",20.2,"ROBBERY",NA,"ALLSTON WAY","SAN PABLO AVE",37.866393,-122.29119,"weekday","4","W"
"716",2016-01-19,"Tuesday",1.06666666666667,"BURGLARY COMMERCIAL","900","MURRAY ST",NA,37.850809,-122.291042,"weekday","2","S"
"717",2016-01-05,"Tuesday",16.8333333333333,"IDENTITY THEFT","1900","BLAKE ST",NA,37.862471,-122.271904,"weekday","1","S"
"718",2016-01-06,"Wednesday",14,"THEFT MISD. (UNDER $950)","2100","SHATTUCK AVE",NA,37.871167,-122.268285,"weekday","2","E"
"719",2016-02-15,"Monday",23.65,"ROBBERY",NA,"SHATTUCK AVENUE","CHANNING WAY",37.865772,-122.267643,"weekday","4","S"
"720",2016-01-05,"Tuesday",7.75,"BURGLARY RESIDENTIAL","1800","FRANCISCO ST",NA,37.874827,-122.275696,"weekday","4","N"
"721",2016-01-06,"Wednesday",14.5,"DISTURBANCE","1800","FOURTH ST",NA,37.869944,-122.300636,"weekday","1","W"
"722",2016-01-06,"Wednesday",18.1166666666667,"THEFT MISD. (UNDER $950)","1900","ALLSTON WAY",NA,37.868785,-122.272701,"weekday","2","S"
"723",2016-04-14,"Thursday",22.85,"ROBBERY","1700","UNIVERSITY AVE",NA,37.870948,-122.27733,"weekday","4","W"
"724",2016-05-08,"Sunday",8,"FRAUD/FORGERY","1000","MILLER AVE",NA,37.894233,-122.260552,"weekend","1","N"
"725",2016-02-17,"Wednesday",18,"VEHICLE STOLEN","1200","OXFORD ST",NA,37.885776,-122.267671,"weekday","4","N"
"726",2016-05-10,"Tuesday",20.8333333333333,"THEFT MISD. (UNDER $950)","2200","SHATTUCK AVE",NA,37.869363,-122.268028,"weekday","2","E"
"727",2015-12-24,"Thursday",21.8833333333333,"BURGLARY AUTO","600","SPRUCE ST",NA,37.89961,-122.271107,"weekday","3","N"
"728",2015-12-07,"Monday",19,"THEFT FROM AUTO",NA,"SHATTUCK AVENUE","HASTE ST",37.864894,-122.267402,"weekday","4","S"
"729",2015-12-24,"Thursday",18.5,"NARCOTICS","1900","HENRY ST",NA,37.873678,-122.269765,"weekday","2","E"
"730",2016-03-21,"Monday",10,"BURGLARY AUTO","1200","FIFTH ST",NA,37.880786,-122.303067,"weekday","3","W"
"731",2016-01-13,"Wednesday",22.5,"BURGLARY AUTO","900","HILLDALE AVE",NA,37.895848,-122.263427,"weekday","3","N"
"732",2016-04-07,"Thursday",20,"BURGLARY AUTO","1200","NEILSON ST",NA,37.882875,-122.288595,"weekday","3","W"
"733",2016-04-08,"Friday",1.23333333333333,"THEFT FELONY (OVER $950)","2000","UNIVERSITY AVE",NA,37.871828,-122.270516,"weekday","5","E"
"734",2016-03-24,"Thursday",5,"THEFT FELONY (OVER $950)","2502","TELEGRAPH AVE",NA,37.864852,-122.258587,"weekday","5","E"
"735",2016-03-28,"Monday",22,"VEHICLE STOLEN","2800","PARKER ST",NA,37.864072,-122.251438,"weekday","4","E"
"736",2016-01-04,"Monday",7.5,"ASSAULT/BATTERY MISD.","2100","SHATTUCK AVE",NA,37.871167,-122.268285,"weekday","4","E"
"737",2016-04-13,"Wednesday",4.5,"NARCOTICS",NA,"CARLETON STREET","NINTH ST",37.857502,-122.290845,"weekday","2","W"
"738",2016-05-26,"Thursday",3.65,"NARCOTICS",NA,"SIXTH STREET","DELAWARE ST",37.87057,-122.298525,"weekday","2","W"
"739",2016-03-21,"Monday",15.5,"THEFT FELONY (OVER $950)","2700","MILVIA ST",NA,37.860225,-122.269453,"weekday","5","S"
"740",2015-12-31,"Thursday",11.1666666666667,"VEHICLE STOLEN","2400","ASHBY AVE",NA,37.856111,-122.260248,"weekday","4","S"
"741",2015-12-05,"Saturday",17.7666666666667,"GUN/WEAPON","1600","ALCATRAZ AVE",NA,37.848152,-122.275807,"weekend","3","S"
"742",2016-02-19,"Friday",9.16666666666667,"THEFT MISD. (UNDER $950)","711","HARRISON ST",NA,37.880592,-122.304761,"weekday","2","W"
"743",2015-12-17,"Thursday",18.25,"BURGLARY AUTO","2500","STUART ST",NA,37.85976,-122.257034,"weekday","3","E"
"744",2016-05-07,"Saturday",22.5,"THEFT MISD. (UNDER $950)","2300","BLAKE ST",NA,37.863646,-122.262822,"weekend","2","E"
"745",2016-01-20,"Wednesday",12,"BURGLARY COMMERCIAL","600","HARRISON ST",NA,37.880163,-122.30676,"weekday","2","W"
"746",2016-01-23,"Saturday",19,"THEFT FROM AUTO","1200","TALBOT AVE",NA,37.882934,-122.292931,"weekend","4","W"
"747",2016-01-08,"Friday",12.25,"THEFT MISD. (UNDER $950)","2100","SHATTUCK AVE",NA,37.871167,-122.268285,"weekday","2","E"
"748",2016-02-11,"Thursday",11.2333333333333,"BURGLARY AUTO","2900","SAN PABLO AVE",NA,37.853576,-122.287202,"weekday","3","S"
"749",2016-05-18,"Wednesday",11.2833333333333,"THEFT MISD. (UNDER $950)",NA,"CHANNING WAY","DANA ST",37.866622,-122.26108,"weekday","2","E"
"750",2016-02-28,"Sunday",17,"BURGLARY AUTO","3000","TELEGRAPH AVE",NA,37.855435,-122.259841,"weekend","3","S"
"751",2016-02-06,"Saturday",22.9833333333333,"BURGLARY COMMERCIAL","809","HEINZ ST",NA,37.853425,-122.29217,"weekend","2","W"
"752",2016-02-28,"Sunday",12.3333333333333,"DISTURBANCE","2000","ALLSTON WAY",NA,37.869096,-122.270137,"weekend","1","E"
"753",2016-02-21,"Sunday",20.3333333333333,"THEFT FROM PERSON","2500","CHANNING WAY",NA,37.866919,-122.258812,"weekend","3","E"
"754",2016-03-18,"Friday",10.7833333333333,"THEFT MISD. (UNDER $950)","2300","DURANT AVE",NA,37.867259,-122.26324,"weekday","2","E"
"755",2016-01-09,"Saturday",14,"THEFT MISD. (UNDER $950)","400","GILMAN ST",NA,37.877715,-122.309618,"weekend","2","W"
"756",2016-02-03,"Wednesday",20.4833333333333,"IDENTITY THEFT","2800","STANTON ST",NA,37.855815,-122.280413,"weekday","1","S"
"757",2016-02-04,"Thursday",23,"BURGLARY AUTO","1600","TACOMA AVE",NA,37.891095,-122.284252,"weekday","3","N"
"758",2016-01-31,"Sunday",10,"THEFT MISD. (UNDER $950)","2500","HILGARD AVE",NA,37.878629,-122.260883,"weekend","2","E"
"759",2016-02-12,"Friday",11,"DISTURBANCE","1600","WOOLSEY ST",NA,37.850899,-122.276174,"weekday","1","S"
"760",2016-01-13,"Wednesday",21.5,"BURGLARY AUTO","2000","BERKELEY WAY",NA,37.872691,-122.270741,"weekday","3","E"
"761",2016-02-11,"Thursday",9.58333333333333,"BURGLARY AUTO","1300","SIXTH ST",NA,37.879335,-122.301332,"weekday","3","W"
"762",2016-05-20,"Friday",1.58333333333333,"THEFT MISD. (UNDER $950)","2300","ELLSWORTH ST",NA,37.867972,-122.263699,"weekday","2","E"
"763",2015-12-23,"Wednesday",10.1333333333333,"VANDALISM","2800","PARK ST",NA,37.855964,-122.283114,"weekday","3","S"
"764",2015-12-19,"Saturday",11.5,"THEFT FROM PERSON","2200","SHATTUCK AVE",NA,37.869363,-122.268028,"weekend","3","E"
"765",2016-03-02,"Wednesday",10.5,"BURGLARY RESIDENTIAL","2000","PRINCE ST",NA,37.852871,-122.26799,"weekday","4","S"
"766",2015-12-09,"Wednesday",6,"THEFT FROM AUTO",NA,"DELAWARE STREET","FRANKLIN ST",37.872618,-122.28574,"weekday","4","W"
"767",2015-12-01,"Tuesday",17.7166666666667,"THEFT FELONY (OVER $950)","2400","TELEGRAPH AVE",NA,37.866761,-122.258779,"weekday","5","E"
"768",2016-02-18,"Thursday",18.5,"ROBBERY","2300","SHATTUCK AVE",NA,37.867176,-122.267802,"weekday","4","E"
"769",2016-04-02,"Saturday",22.6666666666667,"BRANDISHING","2000","DURANT AVE",NA,37.866426,-122.269762,"weekend","2","S"
"770",2016-04-12,"Tuesday",2.25,"BURGLARY AUTO","1000","UNIVERSITY AVE",NA,37.868641,-122.29415,"weekday","3","W"
"771",2016-04-12,"Tuesday",14.3833333333333,"ASSAULT/BATTERY FEL.",NA,"SHATTUCK AVENUE","CENTER ST",37.870346,-122.267796,"weekday","5","E"
"772",2016-03-26,"Saturday",10,"THEFT MISD. (UNDER $950)","2700","CHANNING WAY",NA,37.867491,-122.254053,"weekend","2","E"
"773",2016-01-30,"Saturday",16.5,"THEFT MISD. (UNDER $950)","2100","SHATTUCK AVE",NA,37.871167,-122.268285,"weekend","2","E"
"774",2016-03-24,"Thursday",14.5,"DISTURBANCE","1900","ALLSTON WAY",NA,37.868785,-122.272701,"weekday","1","S"
"775",2016-05-17,"Tuesday",20.5,"FRAUD/FORGERY","2300","TELEGRAPH AVE",NA,37.868714,-122.259189,"weekday","1","E"
"776",2016-04-09,"Saturday",21,"VANDALISM","2700","COLLEGE AVE",NA,37.861645,-122.253508,"weekend","3","E"
"777",2016-04-09,"Saturday",17.8333333333333,"NARCOTICS",NA,"TELEGRAPH AVENUE","OREGON ST",37.858598,-122.25939,"weekend","2","E"
"778",2016-02-01,"Monday",4.26666666666667,"BURGLARY COMMERCIAL","900","MURRAY ST",NA,37.850809,-122.291042,"weekday","2","S"
"779",2016-05-10,"Tuesday",12.7166666666667,"THEFT MISD. (UNDER $950)","2600","TELEGRAPH AVE",NA,37.862927,-122.258784,"weekday","2","E"
"780",2016-01-05,"Tuesday",15,"BURGLARY AUTO","1900","FOURTH ST",NA,37.868281,-122.300102,"weekday","3","W"
"781",2016-02-05,"Friday",8,"DISTURBANCE","2900","NINTH ST",NA,37.8526,-122.289715,"weekday","1","S"
"782",2016-03-21,"Monday",20,"THEFT MISD. (UNDER $950)","600","SPRUCE ST",NA,37.89961,-122.271107,"weekday","2","N"
"783",2016-04-25,"Monday",9.93333333333333,"VEHICLE STOLEN","2900","TELEGRAPH AVE",NA,37.857452,-122.259548,"weekday","4","S"
"784",2016-04-11,"Monday",16,"ROBBERY","1300","CAMPUS DR",NA,37.885401,-122.254299,"weekday","4","E"
"785",2016-04-04,"Monday",19,"VANDALISM",NA,"CENTER STREET","MILVIA ST",37.869973,-122.270557,"weekday","3","E"
"786",2016-04-18,"Monday",8.66666666666667,"THEFT MISD. (UNDER $950)","1100","SHATTUCK AVE",NA,37.887816,-122.270064,"weekday","2","N"
"787",2016-02-28,"Sunday",21,"THEFT MISD. (UNDER $950)",NA,"MILVIA STREET","BANCROFT WAY",37.867291,-122.270245,"weekend","2","S"
"788",2016-01-27,"Wednesday",19.6666666666667,"FRAUD/FORGERY","2600","TELEGRAPH AVE",NA,37.862927,-122.258784,"weekday","1","E"
"789",2016-02-08,"Monday",13.8333333333333,"THEFT MISD. (UNDER $950)","2000","OREGON ST",NA,37.857409,-122.268473,"weekday","2","S"
"790",2015-12-22,"Tuesday",11.5,"ASSAULT/BATTERY FEL.","2900","SACRAMENTO ST",NA,37.8549,-122.27945,"weekday","5","S"
"791",2016-01-28,"Thursday",12.25,"NARCOTICS","2000","KITTREDGE ST",NA,37.868204,-122.270054,"weekday","2","S"
"792",2016-02-13,"Saturday",8,"BURGLARY RESIDENTIAL","2400","FIFTH ST",NA,37.861511,-122.29681,"weekend","4","W"
"793",2016-04-23,"Saturday",16.85,"THEFT FELONY (OVER $950)","1800","FOURTH ST",NA,37.869944,-122.300636,"weekend","5","W"
"794",2015-12-26,"Saturday",14,"VANDALISM","1900","STUART ST",NA,37.857951,-122.271494,"weekend","3","S"
"795",2016-03-04,"Friday",14.6666666666667,"THEFT MISD. (UNDER $950)","1900","RUSSELL ST",NA,37.856132,-122.271292,"weekday","2","S"
"796",2016-02-27,"Saturday",10,"VANDALISM","2000","ALLSTON WAY",NA,37.869096,-122.270137,"weekend","3","E"
"797",2016-01-31,"Sunday",0.85,"NARCOTICS","2200","SHATTUCK AVE",NA,37.869363,-122.268028,"weekend","2","E"
"798",2016-01-17,"Sunday",18.7666666666667,"ALCOHOL OFFENSE",NA,"CENTER STREET","OXFORD ST",37.870583,-122.265956,"weekend","1","E"
"799",2016-02-24,"Wednesday",17.5,"KIDNAPPING",NA,"ROSE STREET","SHATTUCK AVE",37.88203,-122.269571,"weekday","5","N"
"800",2016-03-20,"Sunday",17,"BURGLARY AUTO",NA,"BONAR STREET","ADDISON ST",37.868747,-122.287342,"weekend","3","W"
"801",2016-01-30,"Saturday",10,"THEFT MISD. (UNDER $950)","1800","FOURTH ST",NA,37.869944,-122.300636,"weekend","2","W"
"802",2016-02-22,"Monday",13.0166666666667,"VANDALISM","2400","DURANT AVE",NA,37.867513,-122.26127,"weekday","3","E"
"803",2016-01-05,"Tuesday",15.6,"THEFT MISD. (UNDER $950)","900","HEINZ AVE",NA,37.853552,-122.291561,"weekday","2","W"
"804",2016-02-01,"Monday",15,"THEFT MISD. (UNDER $950)","2300","COLLEGE AVE",NA,37.868957,-122.254552,"weekday","2","E"
"805",2016-05-20,"Friday",19.5,"BURGLARY AUTO","900","PARKER ST",NA,37.858455,-122.293374,"weekday","3","W"
"806",2015-12-10,"Thursday",17,"THEFT MISD. (UNDER $950)","2600","VIRGINIA ST",NA,37.878052,-122.258549,"weekday","2","E"
"807",2016-02-01,"Monday",13,"THEFT MISD. (UNDER $950)","1900","FAIRVIEW ST",NA,37.850681,-122.270619,"weekday","2","S"
"808",2016-02-10,"Wednesday",18,"THEFT MISD. (UNDER $950)","1500","EDITH ST",NA,37.878986,-122.277231,"weekday","2","N"
"809",2015-12-08,"Tuesday",7,"THEFT MISD. (UNDER $950)","2700","SHATTUCK AVE",NA,37.859802,-122.267177,"weekday","2","S"
"810",2016-01-23,"Saturday",13.6333333333333,"THEFT MISD. (UNDER $950)","800","UNIVERSITY AVE",NA,37.867724,-122.298401,"weekend","2","W"
"811",2015-12-18,"Friday",12,"FRAUD/FORGERY","1400","SPRUCE ST",NA,37.88248,-122.266137,"weekday","1","N"
"812",2016-01-24,"Sunday",19,"VEHICLE STOLEN","2700","FULTON ST",NA,37.860552,-122.264511,"weekend","4","S"
"813",2016-02-02,"Tuesday",7,"BURGLARY RESIDENTIAL","1800","DELAWARE ST",NA,37.873942,-122.275579,"weekday","4","W"
"814",2016-01-16,"Saturday",16,"THEFT MISD. (UNDER $950)","2200","SHATTUCK AVE",NA,37.869363,-122.268028,"weekend","2","E"
"815",2016-05-05,"Thursday",21.7666666666667,"DISTURBANCE",NA,"SAN PABLO AVENUE","UNIVERSITY AVE",37.869152,-122.292082,"weekday","1","W"
"816",2016-01-09,"Saturday",20.25,"BURGLARY AUTO","1900","MILVIA ST",NA,37.873607,-122.270903,"weekend","3","N"
"817",2015-12-11,"Friday",10,"BURGLARY RESIDENTIAL","2000","FIFTH ST",NA,37.867271,-122.298682,"weekday","4","W"
"818",2016-01-29,"Friday",21,"ASSAULT/BATTERY MISD.","3072","ADELINE ST",NA,37.852941,-122.269803,"weekday","4","S"
"819",2016-01-02,"Saturday",14.5,"THEFT MISD. (UNDER $950)","2000","UNIVERSITY AVE",NA,37.871828,-122.270516,"weekend","2","E"
"820",2015-12-03,"Thursday",11.5,"BURGLARY AUTO","100","SEAWALL DR",NA,37.863617,-122.317569,"weekday","3","W"
"821",2016-01-12,"Tuesday",19,"VANDALISM",NA,"ADELINE STREET","RUSSELL ST",37.856528,-122.268297,"weekday","3","S"
"822",2016-04-03,"Sunday",4.05,"VANDALISM","1900","UNIVERSITY AVE",NA,37.871544,-122.272714,"weekend","3","S"
"823",2016-01-28,"Thursday",14.8666666666667,"DISTURBANCE","1700","HOPKINS ST",NA,37.882943,-122.279383,"weekday","1","N"
"824",2016-01-10,"Sunday",18.0833333333333,"SEXUAL ASSAULT MISD.","2300","MILVIA ST",NA,37.866581,-122.270179,"weekend","3","S"
"825",2016-04-16,"Saturday",13.9166666666667,"THEFT MISD. (UNDER $950)","2500","BANCROFT WAY",NA,37.868722,-122.259123,"weekend","2","E"
"826",2015-12-09,"Wednesday",13.1666666666667,"ASSAULT/BATTERY MISD.","1100","OXFORD ST",NA,37.88878,-122.267659,"weekday","4","N"
"827",2016-05-26,"Thursday",20.6666666666667,"THEFT MISD. (UNDER $950)",NA,"WEBSTER STREET","DEAKIN ST",37.854857,-122.262314,"weekday","2","S"
"828",2015-12-26,"Saturday",22,"BURGLARY AUTO","1000","MARIPOSA AVE",NA,37.889612,-122.27017,"weekend","3","N"
"829",2016-01-01,"Friday",15,"THEFT MISD. (UNDER $950)","1600","FAIRVIEW ST",NA,37.850001,-122.275963,"weekday","2","S"
"830",2016-02-04,"Thursday",19.9166666666667,"BURGLARY RESIDENTIAL","2000","KITTREDGE ST",NA,37.868204,-122.270054,"weekday","4","S"
"831",2015-12-22,"Tuesday",12.75,"THEFT MISD. (UNDER $950)","1600","UNIVERSITY AVE",NA,37.870652,-122.27958,"weekday","2","W"
"832",2015-12-07,"Monday",16,"BURGLARY AUTO","2000","FOURTH ST",NA,37.867026,-122.299737,"weekday","3","W"
"833",2016-04-06,"Wednesday",15,"THEFT MISD. (UNDER $950)","2600","ASHBY AVE",NA,37.856755,-122.255248,"weekday","2","E"
"834",2016-04-27,"Wednesday",11.15,"SEXUAL ASSAULT MISD.","2600","DURANT AVE",NA,37.868164,-122.256314,"weekday","3","E"
"835",2016-04-01,"Friday",12,"BURGLARY COMMERCIAL","600","CEDAR ST",NA,37.873089,-122.304616,"weekday","2","W"
"836",2016-03-18,"Friday",20,"THEFT MISD. (UNDER $950)","2600","ELLSWORTH ST",NA,37.862562,-122.262598,"weekday","2","E"
"837",2016-04-19,"Tuesday",14.7333333333333,"GUN/WEAPON","1000","DELAWARE ST",NA,37.871271,-122.295015,"weekday","3","W"
"838",2016-04-29,"Friday",16.1666666666667,"IDENTITY THEFT","2000","ASHBY AVE",NA,37.85491,-122.268666,"weekday","1","S"
"839",2015-12-08,"Tuesday",22.4333333333333,"2ND RESPONSE","2600","ELLSWORTH ST",NA,37.862562,-122.262598,"weekday","1","E"
"840",2015-12-26,"Saturday",17,"THEFT FROM AUTO","1900","NAPA AVE",NA,37.88633,-122.275359,"weekend","4","N"
"841",2016-01-29,"Friday",16.3,"ROBBERY",NA,"DURANT AVENUE","SHATTUCK AVE",37.8667,-122.267614,"weekday","4","E"
"842",2016-01-14,"Thursday",17,"THEFT FELONY (OVER $950)","400","GILMAN ST",NA,37.877715,-122.309618,"weekday","5","W"
"843",2016-05-13,"Friday",8.51666666666667,"ROBBERY","1800","UNIVERSITY AVE",NA,37.871246,-122.274991,"weekday","4","W"
"844",2016-01-07,"Thursday",22.5833333333333,"ASSAULT/BATTERY FEL.","2000","ALLSTON WAY",NA,37.869096,-122.270137,"weekday","5","E"
"845",2016-02-29,"Monday",9.5,"VANDALISM","1700","SIXTH ST",NA,37.871969,-122.298978,"weekday","3","W"
"846",2016-05-18,"Wednesday",20,"DISTURBANCE","1200","DWIGHT WAY",NA,37.861341,-122.287679,"weekday","1","W"
"847",2015-12-23,"Wednesday",8,"FRAUD/FORGERY","2000","EIGHTH ST",NA,37.868366,-122.295508,"weekday","1","W"
"848",2016-03-30,"Wednesday",10.25,"THEFT MISD. (UNDER $950)","3000","SHATTUCK AVE",NA,37.855026,-122.266475,"weekday","2","S"
"849",2016-01-20,"Wednesday",20.35,"GUN/WEAPON",NA,"SACRAMENTO STREET","DERBY ST",37.858732,-122.280084,"weekday","3","S"
"850",2016-02-20,"Saturday",9.26666666666667,"VANDALISM",NA,"SHATTUCK AVENUE","CENTER ST",37.870346,-122.267796,"weekend","3","E"
"851",2016-02-05,"Friday",4.25,"VEHICLE STOLEN","2400","BROWNING ST",NA,37.863241,-122.287227,"weekday","4","W"
"852",2016-04-14,"Thursday",3.1,"NARCOTICS","1700","FOURTH ST",NA,37.871268,-122.30106,"weekday","2","W"
"853",2016-05-17,"Tuesday",11.5,"THEFT FROM PERSON",NA,"VIRGINIA STREET","OXFORD ST",37.876881,-122.266666,"weekday","3","E"
"854",2016-01-25,"Monday",8.5,"THEFT MISD. (UNDER $950)",NA,"SHATTUCK AVENUE","CENTER ST",37.870346,-122.267796,"weekday","2","E"
"855",2015-12-16,"Wednesday",21,"VEHICLE STOLEN","1000","SPRUCE ST",NA,37.890734,-122.267192,"weekday","4","N"
"856",2016-03-09,"Wednesday",12,"VEHICLE STOLEN","1900","SEVENTH ST",NA,37.869318,-122.296984,"weekday","4","W"
"857",2015-12-02,"Wednesday",9.58333333333333,"BURGLARY AUTO","2400","DANA ST",NA,37.866508,-122.261057,"weekday","3","E"
"858",2016-04-05,"Tuesday",22.2333333333333,"THEFT FROM PERSON",NA,"CHANNING WAY","TELEGRAPH AVE",37.866919,-122.258812,"weekday","3","E"
"859",2016-02-26,"Friday",16,"BURGLARY AUTO","100","SEAWALL DR",NA,37.863617,-122.317569,"weekday","3","W"
"860",2016-01-12,"Tuesday",17.6666666666667,"FRAUD/FORGERY","2000","SAN PABLO AVE",NA,37.868845,-122.29214,"weekday","1","W"
"861",2016-03-08,"Tuesday",21.9166666666667,"ASSAULT/BATTERY MISD.","1700","CARLETON ST",NA,37.860159,-122.275978,"weekday","4","S"
"862",2015-12-08,"Tuesday",18,"THEFT FROM AUTO","1000","UNIVERSITY AVE",NA,37.868641,-122.29415,"weekday","4","W"
"863",2016-02-03,"Wednesday",21,"BURGLARY AUTO","2500","DURANT AVE",NA,37.867852,-122.258699,"weekday","3","E"
"864",2015-12-19,"Saturday",15,"THEFT MISD. (UNDER $950)","2000","EIGHTH ST",NA,37.868366,-122.295508,"weekend","2","W"
"865",2015-12-24,"Thursday",17,"BURGLARY AUTO","1300","RUSSELL ST",NA,37.854116,-122.284114,"weekday","3","S"
"866",2015-12-02,"Wednesday",20,"ASSAULT/BATTERY MISD.","1600","ALCATRAZ AVE",NA,37.848152,-122.275807,"weekday","4","S"
"867",2015-12-15,"Tuesday",0,"BURGLARY RESIDENTIAL","1600","BLAKE ST",NA,37.861653,-122.278529,"weekday","4","S"
"868",2016-05-18,"Wednesday",20,"DISTURBANCE","1800","WARD ST",NA,37.858673,-122.273365,"weekday","1","S"
"869",2015-12-22,"Tuesday",1.3,"FRAUD/FORGERY",NA,"ASHBY AVENUE","REGENT ST",37.856553,-122.256803,"weekday","1","E"
"870",2016-05-11,"Wednesday",17,"BURGLARY COMMERCIAL","1900","SECOND ST",NA,37.868198,-122.302469,"weekday","2","W"
"871",2016-04-04,"Monday",15.4,"KIDNAPPING",NA,"COLUSA AVENUE","MADERA ST",37.888644,-122.278685,"weekday","5","N"
"872",2016-02-08,"Monday",19,"VEHICLE STOLEN","1500","ALCATRAZ AVE",NA,37.847908,-122.277685,"weekday","4","S"
"873",2015-12-05,"Saturday",2,"VANDALISM","1800","FRANKLIN ST",NA,37.872706,-122.285732,"weekend","3","W"
"874",2016-01-28,"Thursday",12,"THEFT MISD. (UNDER $950)","2300","TELEGRAPH AVE",NA,37.868714,-122.259189,"weekday","2","E"
"875",2016-04-22,"Friday",12,"VANDALISM","2000","CHANNING WAY",NA,37.865501,-122.269774,"weekday","3","S"
"876",2015-12-18,"Friday",19,"BURGLARY COMMERCIAL","1000","HARRISON ST",NA,37.8819,-122.298197,"weekday","2","W"
"877",2016-03-04,"Friday",9.08333333333333,"ASSAULT/BATTERY MISD.","2000","ROSE ST",NA,37.88177,-122.271663,"weekday","4","N"
"878",2016-02-22,"Monday",10.05,"ASSAULT/BATTERY MISD.","800","HEARST AVE",NA,37.869084,-122.299245,"weekday","4","W"
"879",2016-03-27,"Sunday",23.9833333333333,"BURGLARY RESIDENTIAL","2900","DERBY ST",NA,37.862393,-122.248851,"weekend","4","E"
"880",2016-01-28,"Thursday",2.16666666666667,"NARCOTICS","1200","HASKELL ST",NA,37.850541,-122.286037,"weekday","2","S"
"881",2016-01-15,"Friday",14.25,"ROBBERY","2100","SHATTUCK AVE",NA,37.871167,-122.268285,"weekday","4","E"
"882",2016-02-26,"Friday",10.9166666666667,"IDENTITY THEFT","2614","MARTIN LUTHER KING JR WAY",NA,37.860991,-122.271843,"weekday","1","S"
"883",2016-05-02,"Monday",15,"THEFT FELONY (OVER $950)","3200","ELLIS ST",NA,37.850367,-122.272807,"weekday","5","S"
"884",2016-02-10,"Wednesday",9,"ASSAULT/BATTERY FEL.",NA,"FOURTH STREET","UNIVERSITY AVE",37.867581,-122.299887,"weekday","5","W"
"885",2016-01-12,"Tuesday",14.2,"BURGLARY RESIDENTIAL","2300","CEDAR ST",NA,37.879016,-122.264445,"weekday","4","E"
"886",2016-03-25,"Friday",16,"BURGLARY COMMERCIAL","600","CEDAR ST",NA,37.873089,-122.304616,"weekday","2","W"
"887",2016-03-31,"Thursday",20.5833333333333,"VANDALISM","2200","HASTE ST",NA,37.865141,-122.265441,"weekday","3","E"
"888",2016-04-08,"Friday",22.7166666666667,"THEFT MISD. (UNDER $950)","1400","SHATTUCK AVE",NA,37.881957,-122.269551,"weekday","2","N"
"889",2015-12-03,"Thursday",14,"BURGLARY AUTO","1400","HENRY ST",NA,37.880145,-122.270484,"weekday","3","N"
"890",2016-05-11,"Wednesday",22,"BURGLARY AUTO","1500","DWIGHT WAY",NA,37.862202,-122.281026,"weekday","3","S"
"891",2016-05-23,"Monday",17.75,"ASSAULT/BATTERY MISD.","1800","UNIVERSITY AVE",NA,37.871246,-122.274991,"weekday","4","W"
"892",2016-05-16,"Monday",7,"BURGLARY RESIDENTIAL","1800","ADDISON ST",NA,37.870298,-122.275101,"weekday","4","W"
"893",2015-12-26,"Saturday",22,"VEHICLE STOLEN","2400","OREGON ST",NA,37.858608,-122.259302,"weekend","4","E"
"894",2016-03-22,"Tuesday",9.6,"ASSAULT/BATTERY MISD.",NA,"ALLSTON WAY","MILVIA ST",37.869057,-122.270463,"weekday","4","S"
"895",2016-05-14,"Saturday",17.6833333333333,"IDENTITY THEFT",NA,"VIRGINIA STREET","FOURTH ST",37.871883,-122.301255,"weekend","1","W"
